599) up up right up right down down left down right right right up up up up, Score = 16
600) up up up right right down left down right down right right up up up up, Score = 16
601) up up up right right down down down right right up up up left up right, Score = 16
602) up right up up right right down left down down right right up up up up, Score = 16
603) up up up right right down left down down right right right up up up up, Score = 16
604) right up up up right down down down right right up up up left up right, Score = 16
605) up up right up right down down down right right up up up left up right, Score = 16
606) up up up right right down down left down right right right up up up up, Score = 16
607) up up up right down down right down right right up up left up up right, Score = 16
608) up up up right right right down left down down right right up up up up, Score = 16
609) right up right up left left up right up right+shoot right down right up, Score = 24
610) right up right up up left down left up up right right+shoot right right, Score = 24
611) right right up left up left up right up right+shoot right down right up, Score = 24
